id,name,rating,address,city,lat,lon
229,pho-saigon-city-pleasanton,3,4275 Rosewood Dr,Pleasanton,37.69946264,-121.8738575
230,yogurtland-dublin,4,6851 Amador Plz Rd,Dublin,37.70584,-121.92709
231,lees-sandwiches-dublin-2,3.5,4101 Dublin Blvd,Dublin,37.70619,-121.87379
232,osaka-ramen-dublin,3,4288 Dublin Blvd,Dublin,37.70515,-121.87622
233,pho-99-dublin-5,4,7459 Amador Valley Blvd,Dublin,37.710269,-121.92861
234,tandoori-pizza-dublin,4,4060 Grafton St,Dublin,37.70314172,-121.8660247
235,halu-shabu-shabu-dublin,3,4288 Dublin Blvd,Dublin,37.70456696,-121.8754501
236,amakara-dublin,4,7222 Regional St,Dublin,37.70506,-121.93487
237,pho-saigon-garden-dublin,3.5,7265 Regional St,Dublin,37.7056511,-121.9336583
238,pho-saigon-noodle-house-san-ramon,3.5,9150 Alcosta Blvd,San Ramon,37.72938919,-121.9314423
239,85-c-bakery-cafe-newark,3.5,35201 Newark Blvd,Newark,37.54772,-122.0466
240,blackball-desserts-union-city-union-city,3.5,34563 Alvarado Niles Rd,Union City,37.5866448,-122.0201868
241,tasty-pot-newark,4,34909 Newark Blvd,Newark,37.5508,-122.0509
242,icicles-newark,4,39055 Cedar Blvd,Newark,37.52314,-122.00792
243,che-lo-union-city-2,9.2,1767 Decoto Blvd,Union City,37.58956283,-122.0224927
244,fusion-mix-frozen-yogurt-fremont-2,4.5,4144 Walnut Ave,Fremont,37.54360179,-121.9840611
245,crepe-bar-newark,4,2078 Newpark Mall,Newark,37.5282308,-122.0002458
246,q-cup-fremont,3,39129 Fremont Blvd,Fremont,37.54616995,-121.9874015
247,bambu-newark-2,3.5,6058 Mowry Ave,Newark,37.52365871,-122.0071447
248,bambu-union-city-2,3.5,31812-31822 Alvarado Blvd,Union City,37.59146031,-122.0711114
249,storm-crepes-newark,4.5,39658 Cedar Blvd,Newark,37.52181699,-121.9973665
250,sweet-orchid-fremont,4.5,34460 Fremont Blvd,Fremont,37.57511876,-122.0388597
251,jenjons-cafe-union-city,4,1704 Decoto Rd,Union City,37.58905851,-122.0187637
252,k-pop-cafe-fremont,4,35041 Fremont Blvd,Fremont,37.570362,-122.0318791
253,milkcow-fremont-2,3.5,5657 Auto Mall Pkwy,Fremont,37.50466,-121.97634
254,boba-guys-san-carlos-2,4,872 Laurel St,San Carlos,37.50274025,-122.2569802
255,teaquation-redwood-city,4.5,1036 El Camino Real,Redwood City,37.48395094,-122.2326535
256,t4-hayward-3,3.5,1033 B St,Hayward,37.67314354,-122.0820344
257,sweet-spot-castro-valley,4.5,20669 Santa Maria Ave,Castro Valley,37.69609642,-122.078565
258,teaster-hayward-2,3.5,410 W A St,Hayward,37.66601881,-122.108395
259,sharetea-palo-alto-2,4,540 Bryant St,Palo Alto,37.445381,-122.160994
260,chatime-redwood-city-2,4,2202 Broadway St,Redwood City,37.487118,-122.229624
261,eko-coffee-bar-and-tea-house-hayward,4,1075 B St,Hayward,37.67370701,-122.0813971
262,tea-era-cupertino,4,20916 Homestead Rd,Cupertino,37.33715042,-122.0403525
263,fantasia-coffee-and-tea-cupertino,4,10933 N Wolfe Rd,Cupertino,37.33611592,-122.0158903
264,tpumps-cupertino,3.5,19959 Stevens Creek Blvd,Cupertino,37.32323843,-122.0229497
265,super-cue-cafe-cupertino,3.5,19620 Stevens Creek Blvd,Cupertino,37.3223943,-122.0167496
266,happy-lemon-cupertino-5,4.5,10963 N Wolfe Rd,Cupertino,37.3362175,-122.0151378
267,ten-ren-tea-cupertino,4,10881 N Wolfe Rd,Cupertino,37.33564843,-122.0149567
268,meet-fresh-cupertino,3,19449 Stevens Creek Blvd,Cupertino,37.3243651,-122.0105533
